Phylum	Superphylum	Number of genomes
Heimdallarchaeota	Asgard	66
Lokiarchaeota 	Asgard	63
Unclassified_Asgard	Asgard	37
Thorarchaeota	Asgard	32
Helarchaeota	Asgard	19
Odinarchaeota	Asgard	5
Woesearchaeota	DPANN	71
Pacearchaeota	DPANN	60
Micrarchaeota	DPANN	39
Aenigmarchaeota	DPANN	35
Altiarchaeota	DPANN	25
Nanoarchaeota	DPANN	25
Nanohaloarchaeota	DPANN	19
Diapherotrites	DPANN	16
Parvarchaeota	DPANN	13
Methanomicrobia	Euryarchaeota	504
Thermoplasmata	Euryarchaeota	439
Halobacteria	Euryarchaeota	410
Unclassified_Euryarchaeota	Euryarchaeota	334
Thalassoarchaea (MG-II)	Euryarchaeota	91
Thermococci	Euryarchaeota	69
Archaeoglobi	Euryarchaeota	40
Methanobacteria	Euryarchaeota	26
Hadasarchaeota	Euryarchaeota	10
Pontarchaea (MG-III)	Euryarchaeota	8
Theionarchaea	Euryarchaeota	4
Methanohalarchaeia	Euryarchaeota	3
Crenarchaeota	TACK	272
Thaumarchaeota	TACK	166
Bathyarchaeota 	TACK	108
Korarchaeota	TACK	32
Unclassified_Crenarchaeota	TACK	23
Verstraetarchaoeta	TACK	15
Marsarchaeota	TACK	13
Brockarchaeota	TACK	10
Aigarchaeota	TACK	6
Geothermarchaeota	TACK	6
Hydrotermarchaeota	Euryarchaeota	5
Unclassified	Unclassified	443
Geoarchaeota	TACK	8
Marsarchaeota	TACK	8
